BHANDARI,BHANDARI HOSIERY EXPORTS,BHANDARI
BHARATFIN,BHARAT FINANCIAL INCLUSION,BHARATFIN
BHARATFORG,BHARAT FORGE,BHARATFORG
BHARATGEAR,BHARAT GEARS,BHARATGEAR
BHARATIDIL,BHARATI DEFENCE AND INFRASTRUCTURE,BHARATIDIL
BHARATIWIN,ICICIPRAMC - BH,BHARATIWIN
BHARATRAS,BHARAT RASAYAN,BHARATRAS
BHARATWIRE,BHARAT WIRE ROPES,BHARATWIRE
BHARTIARTL,BHARTI AIRTEL,BHARTIARTL
BHARTISHIP,BHARATI SHIPYARD,BHARTISHIP
BHEL,BHARAT HEAVY ELECTRICALS,BHEL
BHUSANSTL,BHUSHAN STEEL,BHUSANSTL
BIGBLOC,BIGBLOC CONSTRUCTION,BIGBLOC
BIL,BHARTIYA INTERNATIONAL,BIL
BILENERGY,BIL ENERGY SYSTEMS,BILENERGY
BILPOWER,BILPOWER,BILPOWER
BIMETAL,BIMETAL BEARINGS,BIMETAL
BINANIIND,BINANI INDUSTRIES,BINANIIND
BINDALAGRO,OSWAL CHEMICALS & FERTILIZERS,BINDALAGRO
BIOCON,BIOCON,BIOCON
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTICALS,BIOFILCHEM
BIRLACABLE,BIRLA CABLE,BIRLACABLE
BIRLACORPN,BIRLA CORPORATION,BIRLACORPN
BIRLACOT,BIRLA COTSYN (INDIA),BIRLACOT
BIRLAERIC,BIRLA ERICSSON OPTICAL,BIRLAERIC
BIRLAMONEY,ADITYA BIRLA MONEY,BIRLAMONEY
BIRLAPOWER,BIRLA POWER SOLUTIONS,BIRLAPOWER
BKMINDST,BKM INDUSTRIES,BKMINDST
BLBLIMITED,BLB,BLBLIMITED
BLISSGVS,BLISS GVS PHARMA,BLISSGVS
BLKASHYAP,B. L. KASHYAP AND SONS,BLKASHYAP
BLS,BLS INTERNATIONAL SERVICES,BLS
BLUEBLENDS,BLUE BLENDS (I),BLUEBLENDS
BLUECHIP,BLUE CHIP INDIA,BLUECHIP
BLUECOAST,BLUE COAST HOTELS,BLUECOAST
BLUEDART,BLUE DART EXPRESS,BLUEDART
BLUESTARCO,BLUE STAR,BLUESTARCO
BLUESTINFO,BLUE STAR INFOTECH,BLUESTINFO
BOC,BOC INDIA,BOC
BODALCHEM,BODAL CHEMICALS,BODALCHEM
BODHTREE,BODHTREE CONSULTING,BODHTREE
BOMDYEING,BOMBAY DYEING & MFG COMPANY,BOMDYEING
BOROSIL,BOROSIL GLASS WORKS,BOROSIL
BOSCHLTD,BOSCH,BOSCHLTD
BPCL,BHARAT PETROLEUM CORPORATION,BPCL
BPL,BPL,BPL
BRANDHOUSE,BRANDHOUSE RETAILS,BRANDHOUSE
BRFL,BOMBAY RAYON FASHIONS,BRFL
BRIGADE,BRIGADE ENTERPRISES,BRIGADE
BRITANNIA,BRITANNIA INDUSTRIES,BRITANNIA
BRNL,BHARAT ROAD NETWORK,BRNL
BROADCAST,BROADCAST INITIATIVES,BROADCAST
BROOKS,BROOKS LABORATORIES,BROOKS
BSE,BSE,BSE
BSELINFRA,BSEL INFRASTRUCTURE REALTY,BSELINFRA
BSL,BSL,BSL
BSLGOLDETF,BIRLA SUN LIFE MUTUAL FUND - BIRLA SUN LIFE GOLD ETF ,BSLGOLDETF
BSLIMITED,BS,BSLIMITED
BSLNIFTY,BIRLA SUN LIFE MUTUAL FUND - BIRLA SUN LIFE NIFTY ETF ,BSLNIFTY
BSTRANSCOM,BS TRANSCOMM,BSTRANSCOM
BURNPUR,BURNPUR CEMENT,BURNPUR
BUTTERFLY,BUTTERFLY GANDHIMATHI APPLIANCES,BUTTERFLY
BVCL,BARAK VALLEY CEMENTS,BVCL
BYKE,THE BYKE HOSPITA,BYKE
CADILAHC,CADILA HEALTHCARE,CADILAHC
CAIRN,CAIRN INDIA,CAIRN
CALSOFT,CALIFORNIA SOFTWARE COMPANY,CALSOFT
CAMBRIDGE,CAMBRIDGE SOLUTIONS,CAMBRIDGE
CAMLIN,CAMLIN,CAMLIN
CAMLINFINE,CAMLIN FINE SCIENCES,CAMLINFINE
CANBK,CAN,CANBK
CANDC,C & C CONSTRUCTIONS,CANDC
CANFINHOME,CAN FIN HOMES,CANFINHOME
CANTABIL,CANTABIL RETAIL INDIA,CANTABIL
CAPACITE,CAPACIT'E INFRAPROJECTS,CAPACITE
CAPF,CAPITAL FIRST,CAPF
CAPLIPOINT,CAPLIN POINT LABORATORIES,CAPLIPOINT
CAPTRUST,CAPITAL TRUST,CAPTRUST
CARBORUNIV,CARBORUNDUM UNIVERSAL,CARBORUNIV
CAREERP,CAREER POINT,CAREERP
CARERATING,CARE RATINGS,CARERATING
CAROLINFO,CAROL INFO SERVICES,CAROLINFO
CASTEXTECH,CASTEX TECHNOLOGIES,CASTEXTECH
CASTROL,CASTROL INDIA,CASTROL
CASTROLIND,CASTROL INDIA,CASTROLIND
CCCL,CONSOLIDATED CONSTRUCTION CONSORTIUM,CCCL
CCHHL,COUNTRY CLUB HOSPITALITY & HOLIDAYS,CCHHL
CCL,CCL PRODUCTS (INDIA),CCL
CDSL,CENTRAL DEPOSITORY SERVICES (INDIA),CDSL
